TOTAL,F,MED_E,PPS,EA19	18183 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EE	13022 	12109 	11423 	10111 	8872 b	8294 	7522 	7241 	7201 	7776 	7260 	6206 	5368 	4560 	3999 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EL	9106 	8950 	8954 	8755 	8626 	8724 	9910 	11389 	12311 	12382 	11907 	11160 	10920 	10532 	10072 	10067 b	8902 	8726 	7828 	7609 	7198 	6879 	6566 
TOTAL,F,MED_E,PPS,ES	15676 	15229 	15133 	14352 	14005 	14166 	14125 	14186 	14786 	15101 	14674 b	12319 	11860 	11116 	11421 b	: 	10518 	9713 	8781 	8283 	7848 	7472 	7281 
TOTAL,F,MED_E,PPS,EU	16685 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	13436 e	12642 e	11902 e	11560 e	11042 e	10588 e	10259 e
TOTAL,F,MED_E,PPS,EU27	16742 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,EU28	16685 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,FI	19616 	19490 	19637 	19112 	18801 	18782 	18164 	17530 	16813 	16848 	16042 	14747 	14491 	13791 	12884 b	: 	12507 	11628 	11208 	10991 	10635 	10176 	: 
TOTAL,F,MED_E,PPS,FR	20076 	20149 	20338 	19627 	19012 	18913 	18501 	17878 	17459 	17418 	17275 b	14881 	14691 	14240 	13602 b	: 	14356 	13294 	13062 	12709 	11757 	11631 	11378 
TOTAL,F,MED_E,PPS,HR	9708 	9254 	8739 	8094 	7510 	7273 	7261 	7287 	7499 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,HU	8446 	8127 	8187 	7863 	7454 	7185 	7458 	7013 	6634 	6759 	6514 	6437 	6006 	5513 	: 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,IE	: 	17866 	17945 	17310 	16386 	16483 	16297 	16116 	16444 	17307 	17691 	17143 	15391 	14688 	13819 	13328 b	13021 	11610 	10957 	10787 	9544 	9327 	8660 
TOTAL,F,MED_E,PPS,IS	: 	: 	22097 	20613 	19841 	19150 	17700 	17782 	18006 	21052 	21483 	19562 	18302 	16912 	15857 	: 	: 	: 	: 	: 	: 	: 	: 
TOTAL,F,MED_E,PPS,IT	16366 	16207 	15875 	15043 	14876 	14903 	15086 	15265 	14700 	14721 	14793 	14054 	13558 	13201 	12788 b	: 	11582 	11384 	10467 	9754 	9349 	9061 	8808 
